Progress[1320/126614], Elapsed[   7m], G_Loss[0.294], D_Real_Loss[0.850], D_Fake_Loss[0.234]
Progress[1330/126614], Elapsed[   8m], G_Loss[0.243], D_Real_Loss[0.449], D_Fake_Loss[0.839]
Progress[1340/126614], Elapsed[   8m], G_Loss[0.281], D_Real_Loss[0.336], D_Fake_Loss[0.306]
Progress[1350/126614], Elapsed[   8m], G_Loss[0.302], D_Real_Loss[0.417], D_Fake_Loss[0.426]
Progress[1360/126614], Elapsed[   8m], G_Loss[0.280], D_Real_Loss[0.372], D_Fake_Loss[0.535]
Progress[1370/126614], Elapsed[   8m], G_Loss[0.283], D_Real_Loss[0.688], D_Fake_Loss[0.309]
Progress[1380/126614], Elapsed[   8m], G_Loss[0.237], D_Real_Loss[0.827], D_Fake_Loss[0.919]
Progress[1390/126614], Elapsed[   8m], G_Loss[0.270], D_Real_Loss[0.820], D_Fake_Loss[0.312]
Progress[1400/126614], Elapsed[   8m], G_Loss[0.266], D_Real_Loss[0.707], D_Fake_Loss[0.656]
Progress[1410/126614], Elapsed[   8m], G_Loss[0.238], D_Real_Loss[0.389], D_Fake_Loss[1.061]
Progress[1420/126614], Elapsed[   8m], G_Loss[0.241], D_Real_Loss[0.593], D_Fake_Loss[0.739]
Progress[1430/126614], Elapsed[   8m], G_Loss[0.259], D_Real_Loss[0.679], D_Fake_Loss[0.462]
Progress[1440/126614], Elapsed[   8m], G_Loss[0.308], D_Real_Loss[0.773], D_Fake_Loss[0.138]
Progress[1450/126614], Elapsed[   8m], G_Loss[0.277], D_Real_Loss[0.586], D_Fake_Loss[0.432]
Progress[1460/126614], Elapsed[   8m], G_Loss[0.279], D_Real_Loss[0.842], D_Fake_Loss[0.266]
Progress[1470/126614], Elapsed[   8m], G_Loss[0.276], D_Real_Loss[1.088], D_Fake_Loss[0.343]
Progress[1480/126614], Elapsed[   8m], G_Loss[0.241], D_Real_Loss[0.501], D_Fake_Loss[0.819]
Progress[1490/126614], Elapsed[   8m], G_Loss[0.286], D_Real_Loss[0.466], D_Fake_Loss[0.699]
